date,new_cases,total_cases,new_deaths,total_deaths
2020-03-30,0.0,5.0,1.0,1.0
2020-03-31,1.0,6.0,0.0,1.0
2020-04-01,0.0,6.0,0.0,1.0
2020-04-02,0.0,6.0,0.0,1.0
2020-04-03,0.0,6.0,0.0,1.0
2020-04-04,0.0,6.0,0.0,1.0
2020-04-05,0.0,6.0,0.0,1.0
2020-04-06,0.0,6.0,0.0,1.0
2020-04-07,0.0,6.0,0.0,1.0
2020-04-08,0.0,6.0,0.0,1.0
2020-04-09,1.0,7.0,0.0,1.0
2020-04-10,0.0,7.0,0.0,1.0
2020-04-11,0.0,7.0,0.0,1.0
2020-04-12,0.0,7.0,0.0,1.0
2020-04-13,0.0,7.0,0.0,1.0
2020-04-14,0.0,7.0,0.0,1.0
2020-04-15,0.0,7.0,0.0,1.0
2020-04-16,0.0,7.0,0.0,1.0
2020-04-17,0.0,7.0,0.0,1.0
2020-04-18,0.0,7.0,0.0,1.0
2020-04-19,0.0,7.0,0.0,1.0
2020-04-20,0.0,7.0,0.0,1.0
2020-04-21,0.0,7.0,0.0,1.0
2020-04-22,0.0,7.0,0.0,1.0
2020-04-23,0.0,7.0,0.0,1.0
2020-04-24,0.0,7.0,0.0,1.0
2020-04-25,0.0,7.0,0.0,1.0
2020-04-26,0.0,7.0,0.0,1.0
2020-04-27,0.0,7.0,0.0,1.0
2020-04-28,0.0,7.0,0.0,1.0
2020-04-29,1.0,8.0,0.0,1.0
2020-04-30,0.0,8.0,0.0,1.0
2020-05-01,0.0,8.0,0.0,1.0
2020-05-02,0.0,8.0,0.0,1.0
2020-05-03,0.0,8.0,0.0,1.0
2020-05-04,0.0,8.0,0.0,1.0
2020-05-05,0.0,8.0,0.0,1.0
2020-05-06,0.0,8.0,0.0,1.0
2020-05-07,0.0,8.0,0.0,1.0
2020-05-08,0.0,8.0,0.0,1.0
2020-05-09,0.0,8.0,0.0,1.0
2020-05-10,0.0,8.0,0.0,1.0
2020-05-11,0.0,8.0,0.0,1.0
2020-05-12,1.0,9.0,0.0,1.0
2020-05-13,6.0,15.0,1.0,2.0
2020-05-14,5.0,20.0,0.0,2.0
2020-05-15,9.0,29.0,1.0,3.0
2020-05-16,11.0,40.0,1.0,4.0
2020-05-17,22.0,62.0,0.0,4.0
2020-05-18,19.0,81.0,0.0,4.0
2020-05-19,50.0,131.0,0.0,4.0
2020-05-20,10.0,141.0,0.0,4.0
2020-05-21,32.0,173.0,1.0,5.0
2020-05-22,27.0,200.0,1.0,6.0
2020-05-23,27.0,227.0,0.0,6.0
