,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
102966,MRT,Africa,Mauritania,2020-03-14,1.0,1.0,,,,,0.209,0.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,4775110.0,4.289,20.3,3.138,1.792,3597.633,6.0,232.347,2.42,,,15.95,,64.92,0.546,,,,
102967,MRT,Africa,Mauritania,2020-03-15,1.0,0.0,,,,,0.209,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,4775110.0,4.289,20.3,3.138,1.792,3597.633,6.0,232.347,2.42,,,15.95,,64.92,0.546,,,,
102968,MRT,Africa,Mauritania,2020-03-16,1.0,0.0,,,,,0.209,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,4775110.0,4.289,20.3,3.138,1.792,3597.633,6.0,232.347,2.42,,,15.95,,64.92,0.546,,,,
102969,MRT,Africa,Mauritania,2020-03-17,1.0,0.0,,,,,0.209,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,4775110.0,4.289,20.3,3.138,1.792,3597.633,6.0,232.347,2.42,,,15.95,,64.92,0.546,,,,
102970,MRT,Africa,Mauritania,2020-03-18,1.0,0.0,,,,,0.209,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,4775110.0,4.289,20.3,3.138,1.792,3597.633,6.0,232.347,2.42,,,15.95,,64.92,0.546,,,,
102971,MRT,Africa,Mauritania,2020-03-19,2.0,1.0,0.286,,,,0.419,0.209,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.41,4775110.0,4.289,20.3,3.138,1.792,3597.633,6.0,232.347,2.42,,,15.95,,64.92,0.546,,,,
102972,MRT,Africa,Mauritania,2020-03-20,2.0,0.0,0.286,,,,0.419,0.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.41,4775110.0,4.289,20.3,3.138,1.792,3597.633,6.0,232.347,2.42,,,15.95,,64.92,0.546,,,,
102973,MRT,Africa,Mauritania,2020-03-21,2.0,0.0,0.143,,,,0.419,0.0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.41,4775110.0,4.289,20.3,3.138,1.792,3597.633,6.0,232.347,2.42,,,15.95,,64.92,0.546,,,,
102974,MRT,Africa,Mauritania,2020-03-22,2.0,0.0,0.143,,,,0.419,0.0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.41,4775110.0,4.289,20.3,3.138,1.792,3597.633,6.0,232.347,2.42,,,15.95,,64.92,0.546,,,,
102975,MRT,Africa,Mauritania,2020-03-23,2.0,0.0,0.143,,,,0.419,0.0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.96,4775110.0,4.289,20.3,3.138,1.792,3597.633,6.0,232.347,2.42,,,15.95,,64.92,0.546,,,,
102976,MRT,Africa,Mauritania,2020-03-24,2.0,0.0,0.143,,,,0.419,0.0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.96,4775110.0,4.289,20.3,3.138,1.792,3597.633,6.0,232.347,2.42,,,15.95,,64.92,0.546,,,,
